r[ARCSEC] eu_r[ARCSEC] el_r[ARCSEC] sig[KM/S] eu_sig[KM/S] el_sig[KM/S] reference
20.88 0.0 0.0 4.83 0.28 0.25 baumgardt+2018
43.61 0.0 0.0 4.27 0.24 0.23 baumgardt+2018
70.5 0.0 0.0 4.51 0.25 0.23 baumgardt+2018
104.02 0.0 0.0 4.52 0.24 0.23 baumgardt+2018
135.65 0.0 0.0 3.93 0.22 0.2 baumgardt+2018
167.48 0.0 0.0 3.7 0.2 0.19 baumgardt+2018
202.01 0.0 0.0 4.04 0.22 0.21 baumgardt+2018
239.12 0.0 0.0 3.61 0.2 0.18 baumgardt+2018
274.63 0.0 0.0 3.77 0.21 0.19 baumgardt+2018
309.85 0.0 0.0 3.52 0.19 0.18 baumgardt+2018
347.28 0.0 0.0 3.45 0.19 0.18 baumgardt+2018
388.53 0.0 0.0 3.46 0.19 0.17 baumgardt+2018
439.78 0.0 0.0 3.43 0.19 0.18 baumgardt+2018
498.79 0.0 0.0 3.05 0.17 0.16 baumgardt+2018
598.56 0.0 0.0 2.97 0.19 0.17 baumgardt+2018
99.25 0.0 0.0 4.560318207783566 0.09259529355905717 0.09259529355905717 baumgardt+2019
173.71 0.0 0.0 4.120490563378044 0.09259529355905717 0.09259529355905717 baumgardt+2019
231.57 0.0 0.0 4.132064975072926 0.09259529355905717 0.09259529355905717 baumgardt+2019
288.91 0.0 0.0 3.726960565752051 0.09259529355905717 0.09259529355905717 baumgardt+2019
352.48 0.0 0.0 3.3797282149055863 0.08102088186417503 0.09259529355905717 baumgardt+2019
427.5 0.0 0.0 3.298707333041411 0.08102088186417503 0.09259529355905717 baumgardt+2019
517.74 0.0 0.0 3.217686451177237 0.09259529355905717 0.08102088186417503 baumgardt+2019
592.57 0.0 0.0 2.7315611599921863 0.1504673520334679 0.13889294033858576 baumgardt+2019
2.5511156 0.947466709229 0.947466709229 5.15037130475904 0.4958436432533285 0.4958436432533285 watkins+2015
4.9483144 0.664094780652 0.664094780652 5.336173612301805 0.5910086092212147 0.5910086092212147 watkins+2015
6.9073284 0.476391662259 0.476391662259 5.622313283009747 0.4980059994336892 0.4980059994336892 watkins+2015
8.6075564 0.645576154348 0.645576154348 5.649982548872377 0.516627002291623 0.516627002291623 watkins+2015
12.1573346 0.949569715895 0.949569715895 4.91314566506614 0.32097991211533744 0.32097991211533744 watkins+2015
15.1527222449 1.00693460331 1.00693460331 4.990360075665639 0.3655227534185633 0.3655227534185633 watkins+2015
18.4064254 0.960011021804 0.960011021804 5.088189348610676 0.41103184719053926 0.41103184719053926 watkins+2015
22.5967783544 1.39331378958 1.39331378958 5.236707815682549 0.26031257129119517 0.26031257129119517 watkins+2015
27.2101071795 1.31097880739 1.31097880739 5.155896693374474 0.2675821722787957 0.2675821722787957 watkins+2015
31.4584003846 1.16417136847 1.16417136847 4.897575331175284 0.3064972022173851 0.3064972022173851 watkins+2015
36.1177070513 1.15497976433 1.15497976433 4.704746724442163 0.2630058694589143 0.2630058694589143 watkins+2015
40.5531873077 1.36333465922 1.36333465922 4.720428853341718 0.2658587961857103 0.2658587961857103 watkins+2015
45.3514874359 1.41915009197 1.41915009197 4.675489606035678 0.28848085710817917 0.28848085710817917 watkins+2015
49.6065420513 1.24246168788 1.24246168788 5.1077137680489075 0.2887083836836928 0.2887083836836928 watkins+2015
53.192295 1.00553939926 1.00553939926 4.914845211666676 0.2780549108765231 0.2780549108765231 watkins+2015
57.0111161538 1.27331619551 1.27331619551 5.35044954249794 0.27788030503450023 0.27788030503450023 watkins+2015
62.2167442308 1.59754325535 1.59754325535 5.033929066578255 0.25350363252911595 0.25350363252911595 watkins+2015
67.6423901266 1.6230009419 1.6230009419 4.786516693573571 0.28404632927450996 0.28404632927450996 watkins+2015
72.504865641 1.02995266534 1.02995266534 4.812157151830795 0.29595547087915863 0.29595547087915863 watkins+2015
76.2112344872 1.33964118283 1.33964118283 4.859692354281071 0.30855142597273416 0.30855142597273416 watkins+2015
81.1569317949 1.55160011047 1.55160011047 4.448531182893429 0.21705948858191698 0.21705948858191698 watkins+2015
86.0339487179 1.29246164568 1.29246164568 4.763407296727381 0.2606856364742784 0.2606856364742784 watkins+2015
90.6349587179 1.41018487648 1.41018487648 4.649906155239949 0.27378961711128624 0.27378961711128624 watkins+2015
95.3552102564 1.26621367066 1.26621367066 4.4725129791686316 0.2268117654754167 0.2268117654754167 watkins+2015
100.135212436 1.47946775489 1.47946775489 4.619086175655172 0.25794100662752245 0.25794100662752245 watkins+2015
106.440050641 2.28431680791 2.28431680791 4.585222523491426 0.2930270543670234 0.2930270543670234 watkins+2015
119.245016709 8.20534521383 8.20534521383 4.173173673421213 0.20948883465531917 0.20948883465531917 watkins+2015
